省份编码,省份,年份,每十万人口幼儿园平均在校生数(人),每十万人口小学平均在校生数(人),每十万人口初中阶段平均在校生数(人),每十万人口高中阶段平均在校生数(人),每十万人口高等学校平均在校生数(人)
340000,安徽省,2016,3136.2190755208,7004.6175130208,3160.7845052083,3145.4606119792,2259.4449869792
340000,安徽省,2015,3052.0088771988,6945.6419529837,3124.7509452573,3317.5094525727,2308.6470491534
340000,安徽省,2014,2867.6622773558,6884.802149325,3191.0411622276,3583.4206773027,2244.6233705927
340000,安徽省,2013,2804.79458917836,6833.6122244489,3335.15531062124,3794.26185704743,2203.19138276553
340000,安徽省,2012,2645.0,6781.0,3570.0,3940.0,2101.0
340000,安徽省,2011,1960.80409602149,7446.37233506799,4194.72889038106,3857.69850595938,2006.77354373007
340000,安徽省,2010,1644.0,7510.0,4551.0,3657.0,1841.0
340000,安徽省,2009,1529.32518337408,7936.07986960065,4853.65770171149,3686.99429502852,1741.73431132844
340000,安徽省,2008,1430.75187969925,8505.29584831644,5071.85681595293,3788.91304347826,1657.80974174567
340000,安徽省,2007,,,,,
340000,安徽省,2006,,,,,
340000,安徽省,2005,,,,,
340000,安徽省,2004,,,,,
340000,安徽省,2003,,,,,
340000,安徽省,2002,,,,,
340000,安徽省,2001,,,,,
340000,安徽省,2000,,,,,
350000,福建省,2019,4303.0,8485.0,3462.0,2676.97538695762,2577.0
350000,福建省,2018,4306.0,8218.0,3291.0,2659.0,2355.0
350000,福建省,2017,4272.0,7927.0,3138.0,2717.0,2352.0
350000,福建省,2016,4079.4060953373,7779.781193019,3007.9656160459,2786.7361292003,2437.7546235999
350000,福建省,2015,3974.2590646348,7575.239096164,2978.0819758276,2889.2459274829,2507.9006831319
350000,福建省,2014,3858.8076311606,7276.7700052994,2982.853736089,3029.8489666137,2513.4075251722
350000,福建省,2013,3823.1083244397,6932.69743863394,2956.84631803629,3341.34738527214,2434.95997865528
350000,福建省,2012,3763.0,6794.0,3012.0,3846.0,2301.0
350000,福建省,2011,3572.22583265638,6663.57432981316,3133.67451936095,3923.73679935012,2199.66422962361
350000,福建省,2010,3216.0,6586.0,3517.0,3655.0,2144.0
350000,福建省,2009,2988.95116537181,6652.59156492786,3926.7730299667,3724.52275249723,2038.75416204218
350000,福建省,2008,2772.19212510472,6901.6029042167,4224.89807316392,3733.55208042446,1936.66015079587
350000,福建省,2007,,,,,
350000,福建省,2006,,,,,
350000,福建省,2005,,,,,
350000,福建省,2004,,,,,
350000,福建省,2003,,,,,
350000,福建省,2002,,,,,
350000,福建省,2001,,,,,
350000,福建省,2000,,,,,
360000,江西省,2019,3567.0,8852.0,4735.0,3399.95266781411,3010.0
