,省份,年份,招生数(万人),在校学生数(万人),毕业生数(万人),获得职业资格证书毕业生数(万人),预计毕业生数(万人),教职工总数(万人),专任教师数(万人)
310,辽宁省,2018,8.0526,28.6095,9.8698,5.4666,10.316,2.6514,1.9811
311,辽宁省,2019,8.6152,26.5089,9.9924,5.0529,9.9319,2.5604,1.9153
312,内蒙古自治区,2008,10.6285,26.9339,7.4932,3.5432,7.9863,2.1225,1.4617
313,内蒙古自治区,2009,16.1552,32.6956,7.7083,3.7938,8.6808,2.1443,1.5227
314,内蒙古自治区,2010,12.4227,33.472,8.5296,4.796,9.2064,2.0626,1.4653
315,内蒙古自治区,2011,10.5862,30.7919,9.1335,4.3558,11.0039,2.097,1.5127
316,内蒙古自治区,2012,9.6021,27.5527,10.9495,5.0544,9.742,2.112,1.5325
317,内蒙古自治区,2013,8.3852,24.5414,9.5508,7.1732,8.3589,2.0109,1.4755
318,内蒙古自治区,2014,8.24,23.1865,8.1296,5.654,7.7801,1.9784,1.4645
319,内蒙古自治区,2015,7.6159,21.4555,8.2938,6.2574,7.4161,1.8991,1.3992
320,内蒙古自治区,2016,7.1807,20.2672,6.9116,5.0712,6.8444,1.8394,1.3773
321,内蒙古自治区,2017,6.7913,19.262,6.7326,4.6608,6.3667,1.848,1.3736
322,内蒙古自治区,2018,5.7496,18.1488,6.0611,3.478,6.1604,1.8192,1.3639
323,内蒙古自治区,2019,5.7572,16.8536,5.9815,3.1533,5.7851,1.8195,1.3632
324,山西省,2008,19.2899,50.5659,14.8896,8.4555,16.5927,3.2534,2.2541
325,山西省,2009,23.5084,55.2169,15.2871,9.5133,19.2066,3.3213,2.3283
326,山西省,2010,23.6507,57.521,18.1814,10.2637,19.4844,3.2882,2.3333
327,山西省,2011,17.6188,50.8529,19.3887,11.5261,18.8591,3.4321,2.4471
328,山西省,2012,17.2417,48.3237,17.11,11.7057,16.0642,3.3738,2.5264
329,山西省,2013,14.2943,43.6393,15.9749,12.9099,15.548,3.3496,2.5401
330,山西省,2014,13.1843,39.9157,15.4227,12.2853,14.7958,3.283,2.5127
331,山西省,2015,11.8877,36.6833,13.613,11.5502,13.8122,3.285,2.5353
332,山西省,2016,11.1013,33.7947,12.9594,10.6991,11.9565,3.257,2.5475
333,山西省,2017,10.9692,32.9291,11.1375,9.7569,12.0429,3.1852,2.5196
334,山西省,2018,10.0471,30.2107,11.1831,9.6798,11.0896,2.9445,2.3374
335,山西省,2019,10.6945,29.6674,10.7153,9.1546,10.1186,2.9157,2.3248
336,河北省,2008,40.6513,105.5814,31.2073,15.0948,35.3238,7.0274,4.8204
337,河北省,2009,45.2436,110.3881,34.8086,16.0364,35.9581,6.8061,4.7982
338,河北省,2010,40.9522,112.0517,34.8186,18.0608,35.6514,6.7544,4.9074
339,河北省,2011,35.6853,106.5994,35.5816,18.071,39.2227,6.4403,4.8323
340,河北省,2012,29.9526,93.4042,38.8585,17.6417,34.1903,5.9944,4.5704
341,河北省,2013,22.0896,75.2285,33.71,23.3535,30.4227,5.7812,4.4211
342,河北省,2014,22.4076,65.5366,29.7687,20.9301,26.2992,5.75,4.4228
343,河北省,2015,24.3165,61.2891,25.4142,19.3059,20.2643,5.6873,4.3936
344,河北省,2016,27.4261,65.8083,19.6609,15.204,22.5845,5.7652,4.4873
345,河北省,2017,28.7128,70.6167,22.0087,16.031,23.8023,5.8789,4.6119
346,河北省,2018,27.5767,72.4282,23.0532,16.7024,25.0355,5.9202,4.6588
347,河北省,2019,31.5647,77.4629,24.4988,18.4967,27.09,6.0704,4.8484
348,天津市,2008,4.213,14.6486,5.0633,1.9859,5.9844,1.2022,0.8064
349,天津市,2009,4.183,13.0478,5.6138,2.5784,5.5343,1.2012,0.8241
350,天津市,2010,3.8731,11.6107,5.1481,2.3892,4.2968,1.15,0.7891
351,天津市,2011,3.5046,10.8094,4.0355,1.8597,3.8588,1.0662,0.7437
352,天津市,2012,3.4835,10.5735,3.7107,1.8277,4.0604,1.0449,0.7363
353,天津市,2013,3.3786,9.7443,3.927,3.1939,3.4365,0.9798,0.6939
354,天津市,2014,3.0768,9.3841,3.3249,2.8858,3.3817,0.9506,0.6734
355,天津市,2015,3.7991,9.7682,3.0618,2.46,3.4503,0.9121,0.6496
356,天津市,2016,3.7366,10.1055,3.1055,2.6558,3.1064,0.8753,0.6458
357,天津市,2017,3.0316,9.8415,2.9111,2.3553,3.5298,0.8421,0.6108
358,天津市,2018,2.7516,9.0666,3.2446,2.5017,3.4868,0.8077,0.5839
359,天津市,2019,2.4971,8.0942,3.0005,2.2937,3.13,0.7972,0.5782
360,北京市,2008,4.5375,17.4586,5.7901,3.1401,6.0672,1.6129,0.8852
361,北京市,2009,4.9783,16.1598,5.6788,3.0973,5.4561,1.5371,0.8669
362,北京市,2010,5.0586,16.1806,5.1325,2.7397,5.3977,1.4625,0.839
363,北京市,2011,6.1507,16.8982,5.1112,2.8439,5.7886,1.3332,0.7787
364,北京市,2012,6.4076,18.974,5.8915,3.3608,6.9983,1.2164,0.7254
365,北京市,2013,5.5427,16.4892,7.5618,6.064,7.8492,1.1926,0.718
366,北京市,2014,2.9765,12.6019,6.6964,3.73,5.5207,1.1674,0.7199
367,北京市,2015,2.7108,9.6277,4.1401,2.8342,3.4069,1.123,0.7048
368,北京市,2016,2.3409,8.578,2.9837,2.115,2.5529,1.0452,0.6681
369,北京市,2017,1.9422,7.4511,2.8981,1.8042,2.6723,0.9824,0.6338
370,北京市,2018,1.4373,6.2299,2.6037,1.3351,2.4645,0.9507,0.6147
371,北京市,2019,1.2578,4.9356,2.2939,0.9377,1.8586,0.9322,0.6019
